id	Typ Nazwa   Koszt   kopalnia    ruda    magia   krysztal    podziemia   bestie  wieza   mur 	obrażenia	kopalnia    ruda    magia   krysztal    podziemia   bestie  wieza   mur obrażenia   playAgain   opis
1;	1;  Kradzież kamieni;0;0;       -8;     0;      0;          0;          0;      0;      0;  	0;			0;          -8;     0;      0;          0;          0;      0;      0;  0;          0;          Wszyscy gracze tracą 8 kamieni.
2;	1;  Szczęśliwy traf;0;0;        2;      0;      2;          0;          0;      0;      0;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          1;          Kamienie +2, kryształy +2, kolejny ruch.
3;	1;  Przyjazny teren;1;0;        0;      0;      0;          0;          0;      0;      1;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          1;          Mur +1, kolejny ruch.
4;	1;  Górnicy;3;      1;          0;      0;      0;          0;          0;      0;      0;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Kopalnia +1.
5;	1;  Krasnoludy;7;   1;          0;      0;      0;          0;          0;      0;      4;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Mur +4, kopalnia +1.
6;	1;  Nadgodziny;2;   0;          0;      0;      -6;         0;          0;      0;      5;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Mur +5, tracisz 6 kryształów.
7;	1;  Słaby mur;2;    0;          0;      0;      0;          0;          0;      0;      3;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Mur +3.
8;	1;  Wzmocniony mur;3;0;         0;      0;      0;          0;          0;      0;      4;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Mur +4.
9;	1;  Innowacje;2;    1;          0;      0;      4;          0;          0;      0;      0;  	0;			1;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Wszyscy gracze: kopalnia +1, otrzymujesz 4 kryształy.
10;	1;  Wstrząsy;7;     0;          0;      0;      0;          0;          0;      0;      -5; 	0;			0;          0;      0;      0;          0;          0;      0;      -5; 0;          1;          Wszyscy gracze: mur -5, kolejny ruch.
11;	1;  Sekretny pokój;8;0;         0;      1;      0;          0;          0;      0;      0;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          1;          Magia +1, kolejny ruch.
12;	1;  Trzęsienie ziemi;0;-1;      0;      0;      0;          0;          0;      0;      0;  	0;			-1;         0;      0;      0;          0;          0;      0;      0;  0;          0;          Wszyscy gracze: kopalnia -1.
13;	1;  Duży mur;5;     0;          0;      0;      0;          0;          0;      0;      6;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Mur +6.
14;	1;  Rozpad; 0;      0;          0;      0;      0;          0;          0;      0;      0;  	0;			-1;         0;      0;      0;          0;          0;      0;      0;  0;          0;          Przeciwnik kopalnia -1.
15;	1;  Nowe wyposażenie;6;2;       0;      0;      0;          0;          0;      0;      0;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Kopalnia +2.
16;	1;  Wyburzanie;6;   -1;         0;      0;      5;          0;          0;      0;      10; 	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Kopalnia -1, Mur +10, otrzymujesz 5 kryształów.
17;	1;  Mocny mur;8;    0;          0;      0;      0;          0;          0;      0;      8;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Mur +8.
18;	1;  Rozbudowa;9;    0;          0;      0;      0;          1;          0;      0;      5;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Mur +5, podziemia +1.
19;	1;  Kryształy;9;    0;          0;      0;      7;          0;          0;      0;      7;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Mur +7, otrzymujesz 7 kryształów.
20;	1;  Harmonia;11;    0;          0;      0;      0;          0;          0;      3;      6;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Mur +6, wieża +3.
21;	1;  Wielki mur;13;  0;          0;      0;      0;          0;          0;      0;      12; 	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Mur +12.
22;	1;  Projektant;15;  0;          0;      0;      0;          0;          0;      5;      8;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Mur +8, wieża +5.
23;	1;  Ogromny mur;16; 0;          0;      0;      0;          0;          0;      0;      15; 	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Mur +15.
24;	1;  Katapulta;18;   0;          0;      0;      0;          0;          0;      0;      6;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  10;         0;          Mur +6, zadaje 10 obrażeń.
25;	1;  Serce smoka;24; 0;          0;      0;      0;          0;          0;      8;      20; 	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Mur +20, wieża +8.
26;	1;  Praca przymusowa;7;0;       0;      0;      0;          0;          -5;     0;      9;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Mur +9, tracisz 5 bestii.
27;	1;  Kamienny ogród;1;0;         0;      0;      0;          0;          2;      0;      1;  	0;			1;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Mur +1, wieża +1, otrzymujesz 2 bestie.
28;	1;  Blanki; 14;     0;          0;      0;      0;          0;          0;      0;      7;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  6;          0;          Mur +7, zadaje 6 obrażeń.
29;	2;  Kwarc;  1;      0;          0;      0;      0;          0;          0;      1;      0;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          1;          Wieża +1, kolejny ruch.
30;	2;  Kwarc dymny;2;  0;          0;      0;      0;          0;          0;      0;      0;  	0;			0;          0;      0;      0;          0;          0;      -1;     0;  0;          1;          1 obrażeń dla wrogiej wieży, kolejny ruch.
31;	2;  Ametyst;2;      0;          0;      0;      0;          0;          0;      3;      0;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Wieża +3.
32;	2;  Tkacz zaklęć;3; 0;          0;      1;      0;          0;          0;      0;      0;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Magia +1.
33;	2;  Rozbłysk;4;     0;          0;      0;      0;          0;          0;      2;      0;  	0;			0;          0;      0;      0;          0;          0;      -2;     0;  0;          0;          Wieża +2, 2 obrżenia dla wrogiej wieży.
34;	2;  Kryształ;6;     0;          0;      1;      0;          0;          0;      3;      0;  	0;			0;          0;      0;      0;          0;          0;      1;      0;  0;          0;          Magia +1,wieża +3, wroga wieża +1.
35;	2;  Kamienny bład;2;0;          0;      0;      0;          0;          0;      0;      0;  	0;			0;          0;      0;      0;          0;          0;      -3;     0;  0;          0;          3 obrażenia dla wrogiej wieży.
36;	2;  Rubin;  3;      0;          0;      0;      0;          0;          0;      5;      0;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Wieża +5.
37;	2;  Włócznia;4;     0;          0;      0;      0;          0;          0;      0;      0;  	0;			0;          0;      0;      0;          0;          0;      -5;     0;  0;          0;          5 obrażeń dla wrogiej wieży.
38;	2;  Płomień magii;3;0;          0;      2;      0;          0;          0;      -5;     0;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          5 obrażeń dla TWOJEJ wieży, magia +2.
39;	2;  Harmonia;7;     0;          0;      1;      0;          0;          0;      3;      3;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Magia +1, wieża +3, mur +3.
40;	2;  Szmaragd;6;     0;          0;      0;      0;          0;          0;      8;      0;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Wieża +8.
41;	2;  Perła mądrości;9;0;         0;      1;      0;          0;          0;      5;      0;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Wieża +5, magia +1.
42;	2;  Łamacz; 8;      0;          0;      1;      0;          0;          0;      0;      0;  	0;			0;          0;      0;      0;          0;          0;      -9;     0;  0;          0;          Magia +1, 9 obrażeń dla wrogiej wieży.
43;	2;  Kruszynka;7;    0;          0;      0;      0;          0;          0;      5;      0;  	0;			0;          -6;     0;      0;          0;          0;      0;      0;  0;          0;          Wieża +5, przeciwnik traci 6 kamieni.
44;	2;  Szafir; 10;     0;          0;      0;      0;          0;          0;      11;     0;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Wieża +11.
45;	2;  Niezgoda;5;     0;          0;      -1;     0;          0;          0;      -7;     0;  	0;			0;          0;      -1;     0;          0;          0;      -7;     0;  0;          0;          Wszyscy gracze: wieża -7, magia -1.
46;	2;  Ognisty rubin;13;0;         0;      0;      0;          0;          0;      6;      0;  	0;			0;          0;      0;      0;          0;          0;      -4;     0;  0;          0;          Wieża +6, 4 obrżenia dla wrogiej wieży.
47;	2;  Łup;    4;      0;          -10;    0;      0;          0;          0;      7;      0;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Wieża +7, tracisz 10 kamieni.
48;	2;  Zaklęta tarcza;12;0;        0;      0;      0;          0;          0;      8;      3;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Wieża +8, mur +3.
49;	2;  Empatia;14;     0;          0;      0;      0;          1;          0;      8;      0;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Wieża +8, podziemia +1.
50;	2;  Diament;16;     0;          0;      0;      0;          0;          0;      15;     0;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Wieża +15.
51;	2;  Sanktuarium;15; 0;          0;      0;      0;          0;          5;      10;     5;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Wieża +10, mur +5, otrzymujesz 5 bestii.
52;	2;  Lawa rubinów;17;0;          0;      0;      0;          0;          0;      12;     0;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  6;          0;          Wieża +12, zadaje 6 obrażeń.
53;	2;  Oko smoka;21;   0;          0;      0;      0;          0;          0;      20;     0;  	0;			0;          0;      0;      0;          0;          0;      0;      0;  0;          0;          Wieża +20.
